IdTransakcji	DataTransakcji	IdKlienta	IdSklepu	IdSprzedawcy
903	03.03.2025	1960	23	59
904	03.04.2025	100	2	128
905	03.05.2025	1435	17	75
906	03.06.2025	649	10	
907	03.01.2025	1062	14	33
908	03.02.2025	411	5	
909	03.03.2025	2	2	140
910	03.04.2025	1145	12	39
911	03.05.2025	1964	23	59
912	03.06.2025	2045	27	142
913	03.01.2025	2015	26	13
914	03.02.2025	1920	25	8
915	03.03.2025	1871	21	100
916	03.04.2025	1817	25	
917	03.05.2025	1894	21	87
918	03.06.2025	1969	25	8
919	03.01.2025	600	3	191
920	03.02.2025	2005	30	
921	03.03.2025	994	12	148
922	03.04.2025	470	4	158
923	03.05.2025	30	1	122
924	03.06.2025	2041	26	47
925	03.01.2025	592	4	36
926	03.02.2025	1845	21	87
927	03.03.2025	2010	30	
928	03.04.2025	966	11	156
929	03.05.2025	1036	13	185
930	03.06.2025	1651	20	
931	03.01.2025	226	1	122
932	03.02.2025	1129	12	68
933	03.03.2025	1014	14	38
934	03.04.2025	2037	26	5
935	03.05.2025	127	1	122
936	03.06.2025	1873	21	165
937	03.01.2025	1701	20	
938	03.02.2025	1877	21	32
939	03.03.2025	1929	24	53
940	03.04.2025	1027	14	170
941	03.05.2025	576	3	91
942	03.06.2025	473	3	23
943	03.01.2025	467	3	191
944	03.02.2025	64	2	136
945	03.03.2025	1014	12	148
946	03.04.2025	1381	16	65
947	03.05.2025	498	4	149
948	03.06.2025	1703	20	
949	03.01.2025	655	8	164
950	03.02.2025	1872	25	14
951	03.03.2025	1305	16	
952	03.04.2025	546	3	191
953	03.05.2025	1950	25	111
954	03.06.2025	488	4	149
955	03.01.2025	2041	29	90
956	03.02.2025	962	12	120
957	03.03.2025	1178	12	68
958	03.04.2025	738	10	56
959	03.05.2025	1869	24	129
960	03.06.2025	1141	11	66
961	03.01.2025	815	10	94
962	03.02.2025	634	10	133
963	03.03.2025	919	12	120
964	03.04.2025	49	1	
965	03.05.2025	1069	12	120
966	03.06.2025	1113	14	153
967	03.01.2025	1476	17	114
968	03.02.2025	2006	26	
969	03.03.2025	1126	12	120
970	03.04.2025	833	10	186
971	03.05.2025	720	10	103
972	03.06.2025	1892	25	93
973	03.01.2025	1108	11	113
974	03.02.2025	745	6	65
975	03.03.2025	43	2	
976	03.04.2025	13	1	122
977	03.05.2025	693	8	139
978	03.06.2025	336	3	151
979	03.01.2025	1931	25	93
980	03.02.2025	998	13	127
981	03.03.2025	1864	22	67
982	03.04.2025	1818	25	112
983	03.05.2025	1014	12	120
984	03.06.2025	1197	13	127
985	03.01.2025	355	3	58
986	03.02.2025	2044	26	5
987	03.03.2025	2018	29	173
988	03.04.2025	2031	26	13
989	03.05.2025	674	8	17
990	03.06.2025	1936	22	109
991	03.01.2025	1962	21	87
992	03.02.2025	2005	30	
993	03.03.2025	1488	17	
994	03.04.2025	1669	18	55
995	03.05.2025	955	12	31
996	03.06.2025	2035	27	2
997	03.01.2025	1878	25	111
998	03.02.2025	763	6	65
999	03.03.2025	319	3	191
1000	03.04.2025	2015	26	57
